,chembl_ids,IC50s,SMILES
1511,CHEMBL3350351,5.32,C[C@@H]1CCC(=NNc2nc(-c3ccc(F)cc3F)cs2)C1
1619,CHEMBL3319254,5.42,O=C(Nc1cnc(Cl)c(Cl)c1)c1ccc2[nH]ncc2c1
1791,CHEMBL3415783,5.5,C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1.O=C(O)C(=O)O
3536,CHEMBL972,5.5,C#CCN(C)[C@H](C)Cc1ccccc1
3429,CHEMBL972,5.5,C#CCN(C)[C@H](C)Cc1ccccc1
1006,CHEMBL2158242,5.6,O=C1NC(=O)c2cc(SCc3ccc(Cl)cc3)ccc21
1825,CHEMBL3586611,5.7,CN(Cc1ccc(C#N)cc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1.Cl
2179,CHEMBL2062882,5.7,O=C1CC(O)Oc2ccc(OCc3cccc(Br)c3)cc21
921,CHEMBL2062882,5.7,O=C1CC(O)Oc2ccc(OCc3cccc(Br)c3)cc21
4055,CHEMBL1241257,5.9,O=c1c(/C=C/c2ccc(Cl)cc2)coc2ccccc12
3538,CHEMBL3707394,5.9,CC(=O)N[C@H]1CC(=O)N(c2ccc(OCc3cccc(F)c3)cc2)C1
4266,CHEMBL5198727,5.9,COc1ccc(/C(C)=N/NC(=O)c2cc(-c3ccccc3)on2)cc1OC
2572,CHEMBL4076698,5.95,COc1ccc2oc(=O)c(C(=O)Nc3ccccc3)cc2c1
1555,CHEMBL3288303,6.0,O=C1CCCc2cc(OCc3ccc(C(F)(F)F)cc3)ccc21
4021,CHEMBL887,6.0,C#CCN[C@@H]1CCc2ccccc21
805,CHEMBL1945159,6.0,Cc1ccc(COc2ccc3occc(=O)c3c2)cc1
2509,CHEMBL396778,6.0,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
1575,CHEMBL3360731,6.0,Cc1ccc2oc(=O)c(-c3cccc([N+](=O)[O-])c3)cc2c1
4072,CHEMBL4869187,6.1,COc1ccc2c(=O)c(/C=C/c3ccc(N(C)C)cc3)coc2c1
1158,CHEMBL972,6.13,C#CCN(C)[C@H](C)Cc1ccccc1
1331,CHEMBL972,6.13,C#CCN(C)[C@H](C)Cc1ccccc1
1512,CHEMBL3264954,6.16,CC1CCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
1291,CHEMBL2430706,6.2,O=C1CCc2ccc(OCc3cccc(Cl)c3)cc2N1
1187,CHEMBL2391876,6.2,O=C1OCc2ccc(OCCCc3ccccc3)cc21
1196,CHEMBL2391741,6.4,O=C1OCc2ccc(OCc3ccc(F)cc3)cc21
4405,CHEMBL5220277,6.4,Cc1ccc(COc2ccc3[nH]c(=O)oc(=O)c3c2)cc1
4484,CHEMBL5178423,6.4,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)CCc2ccc(O)cc21
4278,CHEMBL5178423,6.4,O=C1/C(=C/c2ccc(Cl)c(Cl)c2)CCc2ccc(O)cc21
2321,CHEMBL3938837,6.41,O=C1OCc2cc(OCc3ccc(C(F)(F)F)cc3)ccc21
2325,CHEMBL274030,6.48,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O
5545,CHEMBL6161317,6.49,O=c1ccc2ccc(OCc3ccc(F)nc3)cc2o1
1551,CHEMBL3288299,6.5,O=C1CCCc2cc(OCc3ccc(I)cc3)ccc21
1601,CHEMBL1200904,6.59,C#CCN(C)[C@H](C)Cc1ccccc1.Cl
4188,CHEMBL5170163,6.66,C#CC(C)N(C)[C@H](C)Cc1ccccc1
4855,CHEMBL5583585,6.7,Cc1c(Cl)c(=O)oc2cc(OCc3ccc(S(N)(=O)=O)cc3)ccc12
31,CHEMBL903,6.7,NNC(N)=O
1599,CHEMBL1200904,6.79,C#CCN(C)[C@H](C)Cc1ccccc1.Cl
4726,CHEMBL4074532,6.8,COc1ccc2occ(C(=O)Nc3cccc(Cl)c3)c(=O)c2c1
3357,CHEMBL972,6.8,C#CCN(C)[C@H](C)Cc1ccccc1
4074,CHEMBL4865494,6.8,COc1ccc(/C=C/c2coc3cc(OC)ccc3c2=O)cc1
5624,CHEMBL6166108,6.8,C/C(=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)c1cccs1
1004,CHEMBL2158244,6.8,O=C1NC(=O)c2cc(SCc3ccc(F)cc3)ccc21
4130,CHEMBL4852596,6.808,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)NNC(=S)Nc1ccccc1
